product,date,min,max,avg
Coriander Green,2024-03-13,40.0,50.0,45.0
Garlic Dry Chinese,2024-03-13,220.0,230.0,225.0
Garlic Dry Nepali,2024-03-13,190.0,200.0,195.0
Clive Green,2024-03-13,100.0,120.0,110.0
Fish Fresh(Rahu),2024-03-13,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-03-13,260.0,270.0,265.0
Fish Fresh(Chhadi),2024-03-13,260.0,300.0,280.0
Fish Fresh(Mungari),2024-03-13,350.0,360.0,355.0
Tree Tomato,2024-03-13,140.0,160.0,150.0
Tomato Big(Nepali),2024-03-12,50.0,60.0,55.0
Tomato Big(Indian),2024-03-12,60.0,70.0,65.0
Tomato Small(Local),2024-03-12,20.0,25.0,22.5
Tomato Small(Tunnel),2024-03-12,25.0,30.0,27.5
Tomato Small(Terai),2024-03-12,25.0,30.0,27.6
Potato Red,2024-03-12,34.0,36.0,35.0
Potato Red(Indian),2024-03-12,36.0,40.0,38.0
Potato White,2024-03-12,28.0,30.0,29.0
Onion Dry (Indian),2024-03-12,72.0,78.0,75.0
Carrot(Local),2024-03-12,30.0,35.0,33.33
Carrot(Terai),2024-03-12,25.0,30.0,28.33
Cabbage(Local),2024-03-12,25.0,32.0,28.4
Cabbage,2024-03-12,20.0,28.0,24.6
Cauli Local,2024-03-12,30.0,40.0,35.0
Cauli Local(Jyapu),2024-03-12,40.0,50.0,46.67
Cauli Terai,2024-03-12,25.0,35.0,30.0
Raddish Red,2024-03-12,50.0,60.0,56.67
Raddish White(Hybrid),2024-03-12,25.0,35.0,29.0
Brinjal Long,2024-03-12,60.0,70.0,66.67
Brinjal Round,2024-03-12,60.0,70.0,65.0
Green Peas,2024-03-12,70.0,80.0,75.0
French Bean(Local),2024-03-12,80.0,90.0,86.0
French Bean(Hybrid),2024-03-12,80.0,90.0,85.0
French Bean(Rajma),2024-03-12,110.0,120.0,116.67
Sword Bean,2024-03-12,90.0,100.0,95.0
Bitter Gourd,2024-03-12,120.0,130.0,125.0
Bottle Gourd,2024-03-12,70.0,80.0,76.67
Pointed Gourd(Terai),2024-03-12,260.0,280.0,270.0
Smooth Gourd,2024-03-12,80.0,90.0,86.0
Pumpkin,2024-03-12,40.0,50.0,45.0
Squash(Long),2024-03-12,30.0,40.0,35.0
Squash(Round),2024-03-12,50.0,60.0,55.0
Turnip,2024-03-12,70.0,80.0,76.67
Okara,2024-03-12,100.0,110.0,105.0
Sweet Potato,2024-03-12,60.0,70.0,66.67
Barela,2024-03-12,50.0,60.0,55.0
Arum,2024-03-12,90.0,100.0,95.0
Christophine,2024-03-12,45.0,50.0,48.0
Brd Leaf Mustard,2024-03-12,40.0,50.0,46.67
Spinach Leaf,2024-03-12,60.0,70.0,66.67
Cress Leaf,2024-03-12,60.0,70.0,66.67
Mustard Leaf,2024-03-12,30.0,40.0,36.67
Fenugreek Leaf,2024-03-12,60.0,70.0,66.67
Onion Green,2024-03-12,50.0,60.0,56.67
Bakula,2024-03-12,60.0,70.0,65.0
Yam,2024-03-12,80.0,90.0,86.67
Mushroom(Kanya),2024-03-12,70.0,100.0,84.0
Mushroom(Button),2024-03-12,280.0,320.0,300.0
Asparagus,2024-03-12,600.0,800.0,700.0
Neuro,2024-03-12,80.0,90.0,86.67
Brocauli,2024-03-12,40.0,50.0,45.0
Sugarbeet,2024-03-12,60.0,70.0,65.0
Drumstick,2024-03-12,150.0,180.0,165.0
Red Cabbbage,2024-03-12,60.0,70.0,65.0
Lettuce,2024-03-12,60.0,70.0,66.67
Knolkhol,2024-03-12,60.0,70.0,66.67
Celery,2024-03-12,90.0,100.0,96.67
Parseley,2024-03-12,150.0,200.0,175.0
Fennel Leaf,2024-03-12,60.0,70.0,66.67
Mint,2024-03-12,250.0,300.0,275.0
Tamarind,2024-03-12,140.0,150.0,146.67
Bamboo Shoot,2024-03-12,100.0,120.0,110.0
Tofu,2024-03-12,150.0,170.0,160.0
Gundruk,2024-03-12,250.0,300.0,275.0
Apple(Jholey),2024-03-12,200.0,220.0,210.0
Apple(Fuji),2024-03-12,300.0,350.0,325.0
Banana,2024-03-12,120.0,130.0,125.0
Lime,2024-03-12,220.0,260.0,240.0
Pomegranate,2024-03-12,280.0,300.0,290.0
Grapes(Green),2024-03-12,120.0,140.0,130.0
Grapes(Black),2024-03-12,200.0,220.0,210.0
Orange(Indian),2024-03-12,90.0,100.0,96.67
Water Melon(Green),2024-03-12,45.0,55.0,50.0
Sweet Orange,2024-03-12,130.0,140.0,136.67
Mandarin,2024-03-12,220.0,250.0,235.0
Pineapple,2024-03-12,150.0,180.0,165.0
Cucumber(Local),2024-03-12,100.0,120.0,112.0
Cucumber(Hybrid),2024-03-12,55.0,65.0,60.0
Jack Fruit,2024-03-12,90.0,100.0,96.67
Lemon,2024-03-12,50.0,60.0,55.0
Pear(Chinese),2024-03-12,220.0,250.0,235.0
Papaya(Nepali),2024-03-12,70.0,80.0,76.67
Papaya(Indian),2024-03-12,70.0,80.0,76.67
Guava,2024-03-12,250.0,300.0,275.0
Mombin,2024-03-12,150.0,160.0,156.67
Kinnow,2024-03-12,90.0,100.0,95.0
Strawberry,2024-03-12,250.0,350.0,300.0
Kiwi,2024-03-12,450.0,500.0,475.0
Avocado,2024-03-12,500.0,550.0,525.0
Amla,2024-03-12,80.0,90.0,85.0
Ginger,2024-03-12,200.0,220.0,210.0
Chilli Dry,2024-03-12,400.0,450.0,425.0
Chilli Green,2024-03-12,180.0,200.0,190.0
Chilli Green(Bullet),2024-03-12,180.0,200.0,190.0
Chilli Green(Machhe),2024-03-12,90.0,100.0,95.0
Capsicum,2024-03-12,140.0,160.0,150.0
Garlic Green,2024-03-12,70.0,80.0,76.67
Coriander Green,2024-03-12,30.0,50.0,40.0
Garlic Dry Chinese,2024-03-12,220.0,230.0,226.0
Garlic Dry Nepali,2024-03-12,190.0,200.0,195.0
Clive Green,2024-03-12,100.0,120.0,110.0
Fish Fresh(Rahu),2024-03-12,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-03-12,260.0,270.0,265.0
Fish Fresh(Chhadi),2024-03-12,260.0,300.0,280.0
Fish Fresh(Mungari),2024-03-12,350.0,360.0,355.0
Tree Tomato,2024-03-12,140.0,150.0,146.67
Tomato Big(Nepali),2024-03-11,50.0,60.0,55.0
Tomato Big(Indian),2024-03-11,70.0,80.0,75.0
Tomato Small(Local),2024-03-11,20.0,25.0,22.5
Tomato Small(Tunnel),2024-03-11,30.0,35.0,32.5
Tomato Small(Terai),2024-03-11,25.0,35.0,30.0
Potato Red,2024-03-11,32.0,35.0,33.2
Potato Red(Indian),2024-03-11,35.0,38.0,36.5
Potato White,2024-03-11,28.0,30.0,29.0
Onion Dry (Indian),2024-03-11,72.0,78.0,75.0
Carrot(Local),2024-03-11,30.0,35.0,32.5
Carrot(Terai),2024-03-11,25.0,30.0,27.5
Cabbage(Local),2024-03-11,25.0,32.0,29.25
Cabbage,2024-03-11,22.0,28.0,25.0
Cauli Local,2024-03-11,30.0,40.0,35.0
Cauli Local(Jyapu),2024-03-11,40.0,50.0,45.0
Cauli Terai,2024-03-11,25.0,30.0,27.5
Raddish Red,2024-03-11,50.0,60.0,56.67
Raddish White(Hybrid),2024-03-11,25.0,35.0,30.0
Brinjal Long,2024-03-11,50.0,60.0,56.67
Brinjal Round,2024-03-11,50.0,60.0,55.0
Green Peas,2024-03-11,70.0,80.0,75.0
French Bean(Local),2024-03-11,100.0,110.0,105.0
French Bean(Hybrid),2024-03-11,100.0,110.0,105.0
French Bean(Rajma),2024-03-11,120.0,130.0,125.0
Sword Bean,2024-03-11,90.0,100.0,95.0
Bitter Gourd,2024-03-11,120.0,130.0,126.0
Bottle Gourd,2024-03-11,50.0,60.0,56.67
Pointed Gourd(Terai),2024-03-11,260.0,300.0,280.0
Smooth Gourd,2024-03-11,90.0,100.0,96.67
Pumpkin,2024-03-11,40.0,50.0,45.0
Squash(Long),2024-03-11,30.0,40.0,36.0
Squash(Round),2024-03-11,50.0,60.0,55.0
Turnip,2024-03-11,70.0,80.0,76.67
Okara,2024-03-11,100.0,120.0,112.0
Sweet Potato,2024-03-11,60.0,70.0,66.67
Barela,2024-03-11,50.0,60.0,55.0
Arum,2024-03-11,90.0,100.0,96.67
Christophine,2024-03-11,35.0,40.0,37.5
Brd Leaf Mustard,2024-03-11,40.0,50.0,46.67
Spinach Leaf,2024-03-11,70.0,80.0,76.67
Cress Leaf,2024-03-11,70.0,80.0,76.67
Mustard Leaf,2024-03-11,30.0,40.0,36.67
Fenugreek Leaf,2024-03-11,70.0,80.0,76.67
Onion Green,2024-03-11,50.0,60.0,55.0
Bakula,2024-03-11,50.0,60.0,56.0
Yam,2024-03-11,70.0,80.0,76.67
Mushroom(Kanya),2024-03-11,80.0,100.0,90.0
Mushroom(Button),2024-03-11,300.0,350.0,325.0
Asparagus,2024-03-11,600.0,800.0,700.0
Neuro,2024-03-11,80.0,90.0,85.0
Brocauli,2024-03-11,30.0,40.0,35.0
Sugarbeet,2024-03-11,60.0,70.0,65.0
Drumstick,2024-03-11,150.0,180.0,163.33
Red Cabbbage,2024-03-11,60.0,70.0,65.0
Lettuce,2024-03-11,60.0,70.0,66.67
Knolkhol,2024-03-11,60.0,70.0,65.0
Celery,2024-03-11,90.0,100.0,96.67
Parseley,2024-03-11,150.0,200.0,175.0
Fennel Leaf,2024-03-11,70.0,80.0,76.67
Mint,2024-03-11,250.0,300.0,275.0
Tamarind,2024-03-11,140.0,150.0,146.67
Bamboo Shoot,2024-03-11,100.0,120.0,110.0
Tofu,2024-03-11,150.0,170.0,160.0
Gundruk,2024-03-11,250.0,300.0,275.0
Apple(Jholey),2024-03-11,200.0,220.0,210.0
Apple(Fuji),2024-03-11,300.0,350.0,325.0
Banana,2024-03-11,120.0,130.0,125.0
Lime,2024-03-11,220.0,260.0,240.0
Pomegranate,2024-03-11,280.0,300.0,290.0
Grapes(Green),2024-03-11,120.0,130.0,125.0
Grapes(Black),2024-03-11,200.0,220.0,210.0
Orange(Indian),2024-03-11,90.0,100.0,96.67
Water Melon(Green),2024-03-11,50.0,60.0,56.67
Sweet Orange,2024-03-11,140.0,150.0,145.0
Mandarin,2024-03-11,220.0,250.0,235.0
Pineapple,2024-03-11,150.0,180.0,165.0
Cucumber(Local),2024-03-11,100.0,120.0,110.0
Cucumber(Hybrid),2024-03-11,60.0,70.0,66.67
Jack Fruit,2024-03-11,90.0,100.0,95.0
Lemon,2024-03-11,50.0,60.0,56.67
Pear(Chinese),2024-03-11,220.0,250.0,235.0
Papaya(Nepali),2024-03-11,70.0,80.0,76.67
Papaya(Indian),2024-03-11,70.0,80.0,76.67
Guava,2024-03-11,200.0,250.0,225.0
Mombin,2024-03-11,140.0,150.0,146.0
Kinnow,2024-03-11,90.0,100.0,96.67
Strawberry,2024-03-11,250.0,350.0,300.0
Kiwi,2024-03-11,450.0,500.0,475.0
Avocado,2024-03-11,500.0,600.0,550.0
Amla,2024-03-11,80.0,90.0,86.67
Ginger,2024-03-11,200.0,220.0,210.0
Chilli Dry,2024-03-11,400.0,450.0,425.0
Chilli Green,2024-03-11,90.0,100.0,95.0
Chilli Green(Bullet),2024-03-11,90.0,100.0,95.0
Chilli Green(Machhe),2024-03-11,90.0,100.0,96.67
Capsicum,2024-03-11,100.0,120.0,110.0
Garlic Green,2024-03-11,90.0,100.0,96.67
Coriander Green,2024-03-11,50.0,60.0,56.67
Garlic Dry Chinese,2024-03-11,220.0,240.0,230.0
Garlic Dry Nepali,2024-03-11,190.0,200.0,195.0
Clive Green,2024-03-11,100.0,120.0,110.0
Fish Fresh(Rahu),2024-03-11,340.0,360.0,350.0
Fish Fresh(Bachuwa),2024-03-11,260.0,280.0,270.0
Fish Fresh(Chhadi),2024-03-11,240.0,300.0,266.67
Fish Fresh(Mungari),2024-03-11,350.0,370.0,360.0
Tree Tomato,2024-03-11,140.0,150.0,145.0
Tomato Big(Nepali),2024-03-10,50.0,60.0,55.0
Tomato Big(Indian),2024-03-10,70.0,80.0,75.0
Tomato Small(Local),2024-03-10,20.0,25.0,22.33
Tomato Small(Tunnel),2024-03-10,35.0,40.0,37.67
Tomato Small(Indian),2024-03-10,30.0,40.0,35.0
Potato Red,2024-03-10,32.0,35.0,33.33
Potato Red(Indian),2024-03-10,35.0,40.0,37.67
Onion Dry (Indian),2024-03-10,72.0,78.0,75.0
Carrot(Local),2024-03-10,30.0,35.0,32.67
Carrot(Terai),2024-03-10,25.0,30.0,27.67
Cabbage(Local),2024-03-10,30.0,35.0,32.67
Cabbage,2024-03-10,25.0,30.0,27.67
Cauli Local,2024-03-10,25.0,30.0,27.67
Cauli Local(Jyapu),2024-03-10,35.0,40.0,37.67
Cauli Terai,2024-03-10,20.0,25.0,22.33
Raddish Red,2024-03-10,40.0,50.0,45.0
Raddish White(Local),2024-03-10,20.0,25.0,22.33
Raddish White(Hybrid),2024-03-10,25.0,30.0,27.67
Brinjal Long,2024-03-10,60.0,70.0,65.0
Brinjal Round,2024-03-10,60.0,70.0,65.0
Green Peas,2024-03-10,70.0,80.0,75.0
French Bean(Local),2024-03-10,110.0,120.0,115.0
French Bean(Hybrid),2024-03-10,110.0,120.0,115.0
French Bean(Rajma),2024-03-10,110.0,120.0,115.0
Sword Bean,2024-03-10,90.0,100.0,95.0
Bitter Gourd,2024-03-10,110.0,120.0,115.0
Bottle Gourd,2024-03-10,60.0,70.0,65.0
Pointed Gourd(Terai),2024-03-10,270.0,280.0,275.0
Smooth Gourd,2024-03-10,90.0,100.0,95.0
Pumpkin,2024-03-10,40.0,50.0,45.0
Squash(Long),2024-03-10,35.0,45.0,40.0
Squash(Round),2024-03-10,40.0,50.0,45.0
Turnip,2024-03-10,70.0,80.0,75.0
Okara,2024-03-10,100.0,120.0,111.67
Sweet Potato,2024-03-10,60.0,70.0,65.0
Barela,2024-03-10,40.0,50.0,45.0
Arum,2024-03-10,70.0,80.0,75.0
Christophine,2024-03-10,40.0,50.0,45.0
Brd Leaf Mustard,2024-03-10,40.0,50.0,45.0
Spinach Leaf,2024-03-10,70.0,80.0,75.0
Cress Leaf,2024-03-10,70.0,80.0,75.0
Mustard Leaf,2024-03-10,30.0,40.0,35.0
Fenugreek Leaf,2024-03-10,70.0,80.0,75.0
Onion Green,2024-03-10,50.0,60.0,55.0
Bakula,2024-03-10,50.0,60.0,55.0
Yam,2024-03-10,80.0,90.0,85.0
Mushroom(Kanya),2024-03-10,100.0,120.0,111.67
Mushroom(Button),2024-03-10,300.0,350.0,326.67
Asparagus,2024-03-10,700.0,1000.0,833.33
Neuro,2024-03-10,80.0,90.0,85.0
Brocauli,2024-03-10,30.0,40.0,35.0
Sugarbeet,2024-03-10,60.0,70.0,65.0
Drumstick,2024-03-10,150.0,180.0,166.67
Red Cabbbage,2024-03-10,60.0,70.0,65.0
Lettuce,2024-03-10,50.0,60.0,55.0
Knolkhol,2024-03-10,60.0,70.0,65.0
Celery,2024-03-10,90.0,100.0,95.0
Parseley,2024-03-10,150.0,180.0,166.67
Fennel Leaf,2024-03-10,70.0,80.0,75.0
Mint,2024-03-10,220.0,250.0,233.33
Turnip A,2024-03-10,70.0,80.0,75.0
Tamarind,2024-03-10,140.0,150.0,145.0
Bamboo Shoot,2024-03-10,100.0,120.0,111.67
Tofu,2024-03-10,150.0,170.0,160.0
Gundruk,2024-03-10,250.0,300.0,276.67
Apple(Jholey),2024-03-10,200.0,220.0,210.0
Apple(Fuji),2024-03-10,300.0,350.0,326.67
Banana,2024-03-10,120.0,130.0,125.0
Lime,2024-03-10,220.0,250.0,233.33
Pomegranate,2024-03-10,280.0,300.0,290.0
Grapes(Green),2024-03-10,120.0,140.0,130.0
Grapes(Black),2024-03-10,200.0,220.0,210.0
Orange(Indian),2024-03-10,90.0,100.0,95.0
Water Melon(Green),2024-03-10,50.0,60.0,55.0
Sweet Orange,2024-03-10,130.0,150.0,140.0
Mandarin,2024-03-10,220.0,250.0,233.33
Pineapple,2024-03-10,150.0,180.0,163.33
Cucumber(Local),2024-03-10,120.0,130.0,125.0
Cucumber(Hybrid),2024-03-10,60.0,70.0,65.0
Jack Fruit,2024-03-10,90.0,100.0,95.0
Lemon,2024-03-10,50.0,60.0,55.0
Pear(Chinese),2024-03-10,220.0,250.0,233.33
Papaya(Nepali),2024-03-10,70.0,80.0,75.0
Papaya(Indian),2024-03-10,70.0,80.0,75.0
Guava,2024-03-10,200.0,250.0,226.67
Mombin,2024-03-10,140.0,160.0,148.33
Kinnow,2024-03-10,90.0,100.0,95.0
Strawberry,2024-03-10,250.0,350.0,300.0
Kiwi,2024-03-10,450.0,500.0,476.67
Avocado,2024-03-10,500.0,550.0,526.67
Amla,2024-03-10,80.0,90.0,85.0
Ginger,2024-03-10,200.0,220.0,210.0
Chilli Dry,2024-03-10,400.0,450.0,426.67
Chilli Green,2024-03-10,110.0,120.0,115.0
Chilli Green(Bullet),2024-03-10,130.0,140.0,135.0
Chilli Green(Machhe),2024-03-10,100.0,120.0,110.0
Chilli Green(Akbare),2024-03-10,400.0,450.0,426.67
Capsicum,2024-03-10,120.0,140.0,130.0
Garlic Green,2024-03-10,100.0,120.0,110.0
Coriander Green,2024-03-10,50.0,60.0,55.0
Garlic Dry Chinese,2024-03-10,200.0,220.0,210.0
Garlic Dry Nepali,2024-03-10,190.0,200.0,195.0
Clive Green,2024-03-10,100.0,120.0,110.0
Fish Fresh(Rahu),2024-03-10,350.0,370.0,360.0
Fish Fresh(Bachuwa),2024-03-10,250.0,270.0,260.0
Fish Fresh(Chhadi),2024-03-10,260.0,300.0,280.0
Tree Tomato,2024-03-10,140.0,160.0,150.0
Tomato Big(Nepali),2024-03-09,50.0,60.0,55.0
Tomato Big(Indian),2024-03-09,70.0,80.0,75.0
Tomato Small(Local),2024-03-09,20.0,25.0,22.5
Tomato Small(Tunnel),2024-03-09,30.0,35.0,32.5
Tomato Small(Terai),2024-03-09,30.0,40.0,35.0
Potato Red,2024-03-09,32.0,35.0,33.8
Potato Red(Indian),2024-03-09,35.0,38.0,36.5
Onion Dry (Indian),2024-03-09,72.0,78.0,75.0
Carrot(Local),2024-03-09,30.0,35.0,33.33
Carrot(Terai),2024-03-09,25.0,30.0,28.33
Cabbage(Local),2024-03-09,30.0,35.0,33.0
Cabbage,2024-03-09,25.0,30.0,27.6
Cauli Local,2024-03-09,30.0,40.0,35.0
Cauli Local(Jyapu),2024-03-09,40.0,50.0,46.67
Cauli Terai,2024-03-09,20.0,30.0,25.0
Raddish Red,2024-03-09,50.0,60.0,56.67
Raddish White(Local),2024-03-09,20.0,25.0,22.5
Raddish White(Hybrid),2024-03-09,25.0,30.0,27.5
Brinjal Long,2024-03-09,60.0,70.0,66.67
Brinjal Round,2024-03-09,60.0,70.0,65.0
Green Peas,2024-03-09,70.0,80.0,75.0
French Bean(Local),2024-03-09,130.0,150.0,140.0
French Bean(Hybrid),2024-03-09,130.0,150.0,140.0
French Bean(Rajma),2024-03-09,110.0,120.0,115.0
Sword Bean,2024-03-09,90.0,100.0,96.67
Bitter Gourd,2024-03-09,120.0,130.0,126.67
Bottle Gourd,2024-03-09,60.0,70.0,66.67
Pointed Gourd(Terai),2024-03-09,280.0,300.0,290.0
Smooth Gourd,2024-03-09,90.0,100.0,95.0
Pumpkin,2024-03-09,40.0,50.0,45.0
Squash(Long),2024-03-09,30.0,40.0,36.0
Squash(Round),2024-03-09,40.0,50.0,46.0
Turnip,2024-03-09,70.0,80.0,76.67
Okara,2024-03-09,100.0,120.0,110.0
Sweet Potato,2024-03-09,60.0,70.0,66.67
Barela,2024-03-09,50.0,60.0,55.0
Arum,2024-03-09,90.0,100.0,95.0
Christophine,2024-03-09,40.0,50.0,45.0
Brd Leaf Mustard,2024-03-09,40.0,50.0,46.67
Spinach Leaf,2024-03-09,70.0,80.0,76.67
Cress Leaf,2024-03-09,70.0,80.0,76.67
Mustard Leaf,2024-03-09,30.0,40.0,35.0
Fenugreek Leaf,2024-03-09,70.0,80.0,76.67
Onion Green,2024-03-09,50.0,60.0,56.67
Bakula,2024-03-09,50.0,60.0,56.0
Yam,2024-03-09,80.0,90.0,86.67
Mushroom(Kanya),2024-03-09,100.0,120.0,110.0
Mushroom(Button),2024-03-09,300.0,350.0,325.0
Asparagus,2024-03-09,700.0,1000.0,850.0
Neuro,2024-03-09,80.0,90.0,86.67
Brocauli,2024-03-09,30.0,40.0,35.0
Sugarbeet,2024-03-09,60.0,70.0,66.67
Drumstick,2024-03-09,150.0,180.0,165.0
Red Cabbbage,2024-03-09,60.0,70.0,65.0
Lettuce,2024-03-09,50.0,60.0,56.67
Knolkhol,2024-03-09,60.0,70.0,65.0
Celery,2024-03-09,90.0,100.0,96.67
Parseley,2024-03-09,150.0,180.0,165.0
Fennel Leaf,2024-03-09,70.0,80.0,76.67
Mint,2024-03-09,220.0,250.0,240.0
Turnip A,2024-03-09,70.0,80.0,75.0
Tamarind,2024-03-09,140.0,150.0,146.67
Bamboo Shoot,2024-03-09,100.0,120.0,110.0
Tofu,2024-03-09,150.0,170.0,160.0
Gundruk,2024-03-09,250.0,300.0,275.0
Apple(Jholey),2024-03-09,200.0,220.0,210.0
Apple(Fuji),2024-03-09,300.0,350.0,325.0
Banana,2024-03-09,120.0,130.0,125.0
Lime,2024-03-09,220.0,260.0,244.0
Pomegranate,2024-03-09,280.0,300.0,290.0
Grapes(Green),2024-03-09,120.0,140.0,130.0
Grapes(Black),2024-03-09,200.0,220.0,210.0
Orange(Indian),2024-03-09,90.0,100.0,96.67
Water Melon(Green),2024-03-09,50.0,60.0,56.67
Sweet Orange,2024-03-09,130.0,150.0,140.0
Mandarin,2024-03-09,220.0,250.0,235.0
Pineapple,2024-03-09,150.0,180.0,165.0
Cucumber(Local),2024-03-09,130.0,150.0,140.0
Cucumber(Hybrid),2024-03-09,60.0,70.0,65.0
Jack Fruit,2024-03-09,90.0,100.0,95.0
Lemon,2024-03-09,50.0,60.0,56.67
Pear(Chinese),2024-03-09,220.0,250.0,235.0
Papaya(Nepali),2024-03-09,70.0,80.0,76.67
Papaya(Indian),2024-03-09,70.0,80.0,76.67
Guava,2024-03-09,200.0,250.0,225.0
Mombin,2024-03-09,150.0,160.0,155.0
Kinnow,2024-03-09,90.0,100.0,96.67
Strawberry,2024-03-09,250.0,350.0,300.0
Kiwi,2024-03-09,450.0,500.0,475.0
Avocado,2024-03-09,500.0,550.0,525.0
Amla,2024-03-09,80.0,90.0,86.67
Ginger,2024-03-09,200.0,220.0,210.0
